distribution1;distribution2;dimen1;dimen2
96796;63732;2015;2015
19042;9783;2015;2015
35394;20331;2015;2015
29569;6803;2015;2015
99354;38636;2015;2015
62091;56465;2015;2015
54555;64466;2015;2015
71253;99068;2015;2015
39409;531;2015;2015
88047;56226;2015;2015
72736;45825;2015;2015
25815;58048;2015;2015
65117;5744;2016;2016
35328;94912;2016;2016
87078;45167;2016;2016
47781;60837;2016;2016
11891;67022;2016;2016
66458;44168;2016;2016
86193;64023;2016;2016
58790;15904;2016;2016
32991;4913;2016;2016
32624;63461;2016;2016
18924;53672;2016;2016
16759;38077;2016;2016
64387;89861;2016;2016
94353;96973;2016;2016
20855;63722;2016;2016
68678;68459;2016;2016
55167;19064;2017;2017
10405;8202;2017;2017
90235;30617;2017;2017
56440;68111;2017;2017
33899;79594;2017;2017
9436;43738;2017;2017
24979;602;2017;2017
65789;27128;2017;2017
77855;58397;2017;2017
37852;48336;2017;2017
58821;33659;2017;2017
48107;24341;2017;2017
90659;2732;2017;2017
35694;7096;2017;2017
44653;1962;2017;2017
91869;33509;2017;2017
2690;15318;2017;2017
14728;4429;2017;2017
36852;87579;2017;2017
56963;2139;2017;2017
2091;42256;2018;2018
23061;64607;2018;2018
52501;31057;2018;2018
82629;15549;2018;2018
78321;43327;2018;2018
35789;92282;2018;2018
86705;99471;2018;2018
24962;54754;2018;2018
30307;59893;2018;2018
25883;95576;2018;2018
58905;35629;2018;2018
27565;19706;2018;2018
1069;85737;2018;2018
62869;13091;2018;2018
97337;35299;2018;2018
27666;5625;2018;2018
66235;15894;2018;2018
34059;72575;2019;2019
41583;53233;2019;2019
65014;71142;2019;2019
13122;64016;2019;2019
78157;7799;2019;2019
66416;74085;2019;2019
58617;69448;2019;2019
83199;74167;2019;2019
23425;11847;2019;2019
37601;7961;2019;2019
51704;24573;2019;2019
61469;7915;2019;2019
75806;27698;2019;2019
90875;48593;2019;2019
19589;93442;2019;2019
12216;51402;2019;2019
55410;77379;2019;2019
5459;21159;2019;2019
85136;3104;2019;2019
25578;24703;2019;2019
39672;40128;2019;2019
43306;18368;2019;2019
67867;3267;2019;2019
98048;76909;2020;2020
16234;28838;2020;2020
44657;59432;2020;2020
21852;44584;2020;2020
52640;73202;2020;2020
47219;43068;2020;2020
41779;11564;2020;2020
39543;66212;2020;2020
65199;20054;2020;2020
95117;25527;2020;2020
27508;72819;2020;2020
56388;38236;2020;2020
30063;71989;2015;2015
38518;24773;2015;2015
73144;5169;2015;2015
25641;7104;2015;2015
50905;15659;2015;2015
24393;59773;2015;2015
46844;45854;2015;2015
2597;9334;2015;2015
83565;31882;2015;2015
80271;24965;2015;2015
68644;39427;2015;2015
99012;34648;2015;2015
24731;5306;2016;2016
56205;61904;2016;2016
52670;53725;2016;2016
23429;65088;2016;2016
79056;88185;2016;2016
4871;63032;2016;2016
80967;70377;2016;2016
1475;24361;2016;2016
52704;74905;2016;2016
1009;39377;2016;2016
53474;55485;2016;2016
77382;60001;2016;2016
40159;76765;2016;2016
53258;36666;2016;2016
72075;55214;2016;2016
49487;76265;2016;2016
5928;1351;2017;2017
23910;92978;2017;2017
5565;33562;2017;2017
76068;23611;2017;2017
82536;54368;2017;2017
1941;73289;2017;2017
7164;4263;2017;2017
22001;61462;2017;2017
51700;28529;2017;2017
32394;4683;2017;2017
75408;32576;2017;2017
64294;14967;2017;2017
35538;77037;2017;2017
36959;96216;2017;2017
72731;33291;2017;2017
62416;55841;2017;2017
70091;41122;2017;2017
18607;64331;2017;2017
87611;93535;2017;2017
61192;58334;2017;2017
53881;54502;2018;2018
85080;59047;2018;2018
71048;30743;2018;2018
96388;38372;2018;2018
49641;27272;2018;2018
77637;58084;2018;2018
5641;13216;2018;2018
23716;60751;2018;2018
27448;36804;2018;2018
8644;60876;2018;2018
95721;22642;2018;2018
19564;89639;2018;2018
59511;3041;2018;2018
15773;35196;2018;2018
64014;4386;2018;2018
71667;12753;2018;2018
83619;87672;2018;2018
94328;66328;2019;2019
98098;4597;2019;2019
44003;15745;2019;2019
58780;2392;2019;2019
5713;40376;2019;2019
1227;83421;2019;2019
99479;33934;2019;2019
5391;49533;2019;2019
65013;2167;2019;2019
88719;77675;2019;2019
17377;20242;2019;2019
29871;44133;2019;2019
72165;95786;2019;2019
71143;76578;2019;2019
98396;82721;2019;2019
49961;6332;2019;2019
12057;4876;2019;2019
23742;25315;2019;2019
6344;33832;2019;2019
66280;81667;2019;2019
1193;44228;2019;2019
29388;1164;2019;2019
53069;55211;2019;2019
22939;47778;2020;2020
90026;99206;2020;2020
58892;65416;2020;2020
76279;93509;2020;2020
41750;16421;2020;2020
29128;35481;2020;2020
40293;3403;2020;2020
68766;95511;2020;2020
96868;78116;2020;2020
81497;60234;2020;2020
31137;86407;2020;2020
66198;21702;2020;2020
25664;36738;2015;2015
25684;46456;2015;2015
1160;96944;2015;2015
