country	year	month	day	vaccine	total_vaccinations	continent
Austria	2021	2021-1	2021-01-05	Johnson&Johnson	0	Europe
Austria	2021	2021-1	2021-01-05	Moderna	0	Europe
Austria	2021	2021-1	2021-01-05	Oxford/AstraZeneca	0	Europe
Austria	2021	2021-1	2021-01-05	Pfizer/BioNTech	30829	Europe
Austria	2021	2021-1	2021-01-12	Johnson&Johnson	0	Europe
Austria	2021	2021-1	2021-01-12	Moderna	88	Europe
Austria	2021	2021-1	2021-01-12	Oxford/AstraZeneca	0	Europe
Austria	2021	2021-1	2021-01-12	Pfizer/BioNTech	114966	Europe
Austria	2021	2021-1	2021-01-19	Johnson&Johnson	0	Europe
Austria	2021	2021-1	2021-01-19	Moderna	298	Europe
Austria	2021	2021-1	2021-01-19	Oxford/AstraZeneca	0	Europe
Austria	2021	2021-1	2021-01-19	Pfizer/BioNTech	211955	Europe
Austria	2021	2021-1	2021-01-26	Johnson&Johnson	0	Europe
Austria	2021	2021-1	2021-01-26	Moderna	4144	Europe
Austria	2021	2021-1	2021-01-26	Oxford/AstraZeneca	0	Europe
Austria	2021	2021-1	2021-01-26	Pfizer/BioNTech	256468	Europe
Austria	2021	2021-2	2021-02-02	Johnson&Johnson	0	Europe
Austria	2021	2021-2	2021-02-02	Moderna	5821	Europe
Austria	2021	2021-2	2021-02-02	Oxford/AstraZeneca	1	Europe
Austria	2021	2021-2	2021-02-02	Pfizer/BioNTech	351355	Europe
Austria	2021	2021-2	2021-02-09	Johnson&Johnson	0	Europe
Austria	2021	2021-2	2021-02-09	Moderna	9849	Europe
Austria	2021	2021-2	2021-02-09	Oxford/AstraZeneca	10746	Europe
Austria	2021	2021-2	2021-02-09	Pfizer/BioNTech	451937	Europe
Austria	2021	2021-2	2021-02-16	Johnson&Johnson	0	Europe
Austria	2021	2021-2	2021-02-16	Moderna	13966	Europe
Austria	2021	2021-2	2021-02-16	Oxford/AstraZeneca	43387	Europe
Austria	2021	2021-2	2021-02-16	Pfizer/BioNTech	517314	Europe
Austria	2021	2021-2	2021-02-23	Johnson&Johnson	0	Europe
Austria	2021	2021-2	2021-02-23	Moderna	22200	Europe
Austria	2021	2021-2	2021-02-23	Oxford/AstraZeneca	100964	Europe
Austria	2021	2021-2	2021-02-23	Pfizer/BioNTech	578130	Europe
Austria	2021	2021-3	2021-03-02	Johnson&Johnson	0	Europe
Austria	2021	2021-3	2021-03-02	Moderna	31316	Europe
Austria	2021	2021-3	2021-03-02	Oxford/AstraZeneca	155413	Europe
Austria	2021	2021-3	2021-03-02	Pfizer/BioNTech	681746	Europe
Austria	2021	2021-3	2021-03-09	Johnson&Johnson	0	Europe
Austria	2021	2021-3	2021-03-09	Moderna	46571	Europe
Austria	2021	2021-3	2021-03-09	Oxford/AstraZeneca	232452	Europe
Austria	2021	2021-3	2021-03-09	Pfizer/BioNTech	844254	Europe
Austria	2021	2021-3	2021-03-16	Johnson&Johnson	10	Europe
Austria	2021	2021-3	2021-03-16	Moderna	78242	Europe
Austria	2021	2021-3	2021-03-16	Oxford/AstraZeneca	304880	Europe
Austria	2021	2021-3	2021-03-16	Pfizer/BioNTech	975854	Europe
Austria	2021	2021-3	2021-03-23	Johnson&Johnson	16	Europe
Austria	2021	2021-3	2021-03-23	Moderna	103523	Europe
Austria	2021	2021-3	2021-03-23	Oxford/AstraZeneca	378977	Europe
Austria	2021	2021-3	2021-03-23	Pfizer/BioNTech	1120524	Europe
Austria	2021	2021-3	2021-03-30	Johnson&Johnson	26	Europe
Austria	2021	2021-3	2021-03-30	Moderna	139482	Europe
Austria	2021	2021-3	2021-03-30	Oxford/AstraZeneca	417025	Europe
Austria	2021	2021-3	2021-03-30	Pfizer/BioNTech	1267320	Europe
Austria	2021	2021-4	2021-04-06	Johnson&Johnson	41	Europe
Austria	2021	2021-4	2021-04-06	Moderna	178749	Europe
Austria	2021	2021-4	2021-04-06	Oxford/AstraZeneca	506367	Europe
Austria	2021	2021-4	2021-04-06	Pfizer/BioNTech	1487263	Europe
Austria	2021	2021-4	2021-04-13	Johnson&Johnson	42	Europe
Austria	2021	2021-4	2021-04-13	Moderna	220857	Europe
Austria	2021	2021-4	2021-04-13	Oxford/AstraZeneca	600969	Europe
Austria	2021	2021-4	2021-04-13	Pfizer/BioNTech	1718603	Europe
Austria	2021	2021-4	2021-04-20	Johnson&Johnson	46	Europe
Austria	2021	2021-4	2021-04-20	Moderna	257879	Europe
Austria	2021	2021-4	2021-04-20	Oxford/AstraZeneca	649369	Europe
Austria	2021	2021-4	2021-04-20	Pfizer/BioNTech	1980007	Europe
Austria	2021	2021-4	2021-04-27	Johnson&Johnson	266	Europe
Austria	2021	2021-4	2021-04-27	Moderna	296447	Europe
Austria	2021	2021-4	2021-04-27	Oxford/AstraZeneca	691139	Europe
Austria	2021	2021-4	2021-04-27	Pfizer/BioNTech	2250453	Europe
Austria	2021	2021-5	2021-05-04	Johnson&Johnson	6324	Europe
Austria	2021	2021-5	2021-05-04	Moderna	345110	Europe
Austria	2021	2021-5	2021-05-04	Oxford/AstraZeneca	753315	Europe
Austria	2021	2021-5	2021-05-04	Pfizer/BioNTech	2576886	Europe
Austria	2021	2021-5	2021-05-11	Johnson&Johnson	13203	Europe
Austria	2021	2021-5	2021-05-11	Moderna	394289	Europe
Austria	2021	2021-5	2021-05-11	Oxford/AstraZeneca	816586	Europe
Austria	2021	2021-5	2021-05-11	Pfizer/BioNTech	2872991	Europe
Austria	2021	2021-5	2021-05-18	Johnson&Johnson	25310	Europe
Austria	2021	2021-5	2021-05-18	Moderna	461192	Europe
Austria	2021	2021-5	2021-05-18	Oxford/AstraZeneca	892843	Europe
Austria	2021	2021-5	2021-05-18	Pfizer/BioNTech	3246412	Europe
Austria	2021	2021-5	2021-05-25	Johnson&Johnson	37227	Europe
Austria	2021	2021-5	2021-05-25	Moderna	513294	Europe
Austria	2021	2021-5	2021-05-25	Oxford/AstraZeneca	974186	Europe
Austria	2021	2021-5	2021-05-25	Pfizer/BioNTech	3578357	Europe
Austria	2021	2021-6	2021-06-01	Johnson&Johnson	55944	Europe
Austria	2021	2021-6	2021-06-01	Moderna	564278	Europe
Austria	2021	2021-6	2021-06-01	Oxford/AstraZeneca	1039067	Europe
Austria	2021	2021-6	2021-06-01	Pfizer/BioNTech	3974462	Europe
Belgium	2021	2021-1	2021-01-05	Pfizer/BioNTech	27427	Europe
Belgium	2021	2021-1	2021-01-12	Moderna	4	Europe
Belgium	2021	2021-1	2021-01-12	Pfizer/BioNTech	125722	Europe
Belgium	2021	2021-1	2021-01-19	Moderna	4421	Europe
Belgium	2021	2021-1	2021-01-19	Pfizer/BioNTech	243315	Europe
Belgium	2021	2021-1	2021-01-26	Moderna	6077	Europe
Belgium	2021	2021-1	2021-01-26	Pfizer/BioNTech	331940	Europe
Belgium	2021	2021-2	2021-02-02	Moderna	15692	Europe
Belgium	2021	2021-2	2021-02-02	Oxford/AstraZeneca	0	Europe
Belgium	2021	2021-2	2021-02-02	Pfizer/BioNTech	459495	Europe
Belgium	2021	2021-2	2021-02-09	Moderna	25044	Europe
Belgium	2021	2021-2	2021-02-09	Oxford/AstraZeneca	309	Europe
Belgium	2021	2021-2	2021-02-09	Pfizer/BioNTech	594349	Europe
Belgium	2021	2021-2	2021-02-16	Moderna	29761	Europe
Belgium	2021	2021-2	2021-02-16	Oxford/AstraZeneca	10487	Europe
Belgium	2021	2021-2	2021-02-16	Pfizer/BioNTech	694388	Europe
Belgium	2021	2021-2	2021-02-23	Moderna	32145	Europe
Belgium	2021	2021-2	2021-02-23	Oxford/AstraZeneca	44663	Europe
Belgium	2021	2021-2	2021-02-23	Pfizer/BioNTech	782057	Europe
Belgium	2021	2021-3	2021-03-02	Moderna	50615	Europe
Belgium	2021	2021-3	2021-03-02	Oxford/AstraZeneca	108604	Europe
Belgium	2021	2021-3	2021-03-02	Pfizer/BioNTech	869303	Europe
Belgium	2021	2021-3	2021-03-09	Moderna	66313	Europe
Belgium	2021	2021-3	2021-03-09	Oxford/AstraZeneca	188566	Europe
Belgium	2021	2021-3	2021-03-09	Pfizer/BioNTech	964362	Europe
Belgium	2021	2021-3	2021-03-16	Moderna	88601	Europe
Belgium	2021	2021-3	2021-03-16	Oxford/AstraZeneca	347041	Europe
Belgium	2021	2021-3	2021-03-16	Pfizer/BioNTech	1073750	Europe
Belgium	2021	2021-3	2021-03-23	Moderna	98730	Europe
